United States;3029,4;;;;
United States;2629,2;;;;
United States;3054,6;;;;
United States;3061,7;;;;
United States;2169,7;;;;
United States;2593,7;;;;
United States;2926,5;;;;
United States;3806;;;;
United States;2786;;;;
United States;2695,1;;;;
United States;2527,7;;;;
United States;2922,4;;;;
United States;4015,3;;;;
Argentina;2525,2;;;;
Argentina;1281,2;;;;
Argentina;2871,7;;;;
Argentina;2283,2;;;;
Bolivia;2288,9;;;;
Brazil;2003,3;;;;
Brazil;2363,3;;;;
Brazil;2181,1;;;;
Brazil;2843,4;;;;
Brazil;1828,5;;;;
Brazil;2006,2;;;;
Colombia;1328;;;;
Colombia;2561;;;;
Colombia;1892,2;;;;
Colombia;1941,9;;;;
Colombia;1178;;;;
Colombia;637;;;;
Chile;2807,9;;;;
Chile;3077,1;;;;
Chile;1716,7;;;;
Chile;1714,8;;;;
Chile;3926,2;;;;
Ecuador;2238;;;;
Ecuador;1581,1;;;;
Falkland Islands;1651;;;;
French Guiana;1976;;;;
Paraguay;2803;;;;
Peru;3333,3;;;;
Peru;1230;;;;
Peru;1476,7;;;;
Uruguay;2481,4;;;;
Venezuela;2506,9;;;;
Venezuela;3284;;;;
Australia;2765,4;;;;
Australia;2968,4;;;;
Australia;2813,7;;;;
Australia;3092,2;;;;
Australia;2165,1;;;;
Australia;2362,6;;;;
Australia;3229,5;;;;
Australia;2635,5;;;;
New Zealand;2003,1;;;;
New Zealand;2070,2;;;;
New Zealand;2058,7;;;;
